No,Group,Family,Name_S,Name_C,Endemic,Alien,西元年,Month,Date,Time,Region,X坐標,Y坐標,數量
1,爬蟲類,飛蜥科,Japalura swinhonis,斯文豪氏攀蜥,特有種,,2014,5,18,1149,新店溪,303621,2766991,1
2,爬蟲類,飛蜥科,Japalura swinhonis,斯文豪氏攀蜥,特有種,,2014,5,18,1151,新店溪,303377,2767070,1
3,爬蟲類,飛蜥科,Japalura swinhonis,斯文豪氏攀蜥,特有種,,2014,5,18,1202,新店溪,302332,2768213,1
4,爬蟲類,飛蜥科,Japalura swinhonis,斯文豪氏攀蜥,特有種,,2014,5,18,1208,新店溪,301338,2768341,1
5,爬蟲類,飛蜥科,Japalura swinhonis,斯文豪氏攀蜥,特有種,,2014,5,18,1209,新店溪,301291,2768316,1
6,爬蟲類,飛蜥科,Japalura swinhonis,斯文豪氏攀蜥,特有種,,2014,5,18,1241,淡水河,299504,2770031,1
7,爬蟲類,飛蜥科,Japalura swinhonis,斯文豪氏攀蜥,特有種,,2014,5,18,1324,淡水河,300499,2775890,1
8,爬蟲類,飛蜥科,Japalura swinhonis,斯文豪氏攀蜥,特有種,,2014,5,18,1330,淡水河,301018,2775267,1
10,爬蟲類,地龜科,Ocadia sinensis,斑龜,,,2014,5,15,00:00,新店溪,300909,2767914,1
11,爬蟲類,黃頷蛇科,Elaphe carinata,臭青公,,,2014,5,15,945,新店溪,300386,2767413,1
13,爬蟲類,澤龜科,Trachemys scripta elegans,紅耳泥龜,,外來種,2014,5,15,952,新店溪,300068,2767152,1
29,爬蟲類,壁虎科,Gekko hokouensis,鉛山壁虎,,,2014,5,16,1929,新店溪,303388,2767051,2
38,爬蟲類,壁虎科,Gekko hokouensis,鉛山壁虎,,,2014,5,16,1951,新店溪,302467,2768180,1
40,爬蟲類,壁虎科,Gekko hokouensis,鉛山壁虎,,,2014,5,16,1957,新店溪,302154,2768258,2
93,爬蟲類,壁虎科,Hemidactylus frenatus,疣尾蝎虎,,,2014,5,25,2052,關渡水岸公園,296636,2778999,1
97,爬蟲類,飛蜥科,Japalura swinhonis,斯文豪氏攀蜥,特有種,,2014,6,5,940,新店溪,303942,2766378,1
98,爬蟲類,飛蜥科,Japalura swinhonis,斯文豪氏攀蜥,特有種,,2014,6,5,944,新店溪,303893,2766537,1
101,爬蟲類,飛蜥科,Japalura swinhonis,斯文豪氏攀蜥,特有種,,2014,6,5,1014,新店溪,302626,2768047,1
102,爬蟲類,飛蜥科,Japalura swinhonis,斯文豪氏攀蜥,特有種,,2014,6,5,1029,新店溪,301933,2768336,1
103,爬蟲類,飛蜥科,Japalura swinhonis,斯文豪氏攀蜥,特有種,,2014,6,5,1035,新店溪,301849,2768510,1
104,爬蟲類,澤龜科,Trachemys scripta elegans,紅耳泥龜,,外來種,2014,6,5,1108,新店溪,301664,2768396,2
105,爬蟲類,飛蜥科,Japalura swinhonis,斯文豪氏攀蜥,特有種,,2014,6,5,1130,新店溪,302742,2768081,2
106,爬蟲類,飛蜥科,Japalura swinhonis,斯文豪氏攀蜥,特有種,,2014,6,5,1133,新店溪,302836,2767889,1
110,爬蟲類,澤龜科,Trachemys scripta elegans,紅耳泥龜,,外來種,2014,6,10,1119,淡水河,300599,2770876,1
111,爬蟲類,澤龜科,Trachemys scripta elegans,紅耳泥龜,,外來種,2014,6,10,1121,淡水河,300480,2770719,1
112,爬蟲類,澤龜科,Trachemys scripta elegans,紅耳泥龜,,外來種,2014,6,10,1124,淡水河,300339,2770535,4
113,爬蟲類,飛蜥科,Japalura swinhonis,斯文豪氏攀蜥,特有種,,2014,6,10,1130,淡水河,300107,2770261,1
114,爬蟲類,飛蜥科,Japalura swinhonis,斯文豪氏攀蜥,特有種,,2014,6,10,1137,淡水河,299930,2770171,1
115,爬蟲類,澤龜科,Trachemys scripta elegans,紅耳泥龜,,外來種,2014,6,10,1150,淡水河,299409,2769895,7
116,爬蟲類,飛蜥科,Japalura swinhonis,斯文豪氏攀蜥,特有種,,2014,6,10,1211,新店溪,299623,2767959,1
118,爬蟲類,地龜科,Ocadia sinensis,斑龜,,,2014,6,12,555,新店溪,301241.5711,2768232.826,3
119,爬蟲類,澤龜科,Trachemys scripta elegans,紅耳泥龜,,外來種,2014,6,12,653,新店溪,300891,2767885,1
168,爬蟲類,地龜科,Ocadia sinensis,斑龜,,,2014,6,27,1558,淡水河,301310,2773053,1
169,爬蟲類,飛蜥科,Japalura swinhonis,斯文豪氏攀蜥,特有種,,2014,6,27,1614,淡水河,300800,2775582,1
170,爬蟲類,飛蜥科,Japalura swinhonis,斯文豪氏攀蜥,特有種,,2014,6,27,1616,淡水河,300551,2775835,1
