坐標x,坐標y,調查日期（yyyymmdd）,物種類別（綱）,物種名稱（學名或中文名）,數量,調查法,不準度
121.4703333,25.11549722,20170307,條鰭魚綱,Gambusia affinis,3,網捕法、電魚法,<25公尺
121.4703333,25.11549722,20170307,條鰭魚綱,Acanthopagrus taiwanensis,1,網捕法、電魚法,<25公尺
121.4703333,25.11549722,20170307,條鰭魚綱,Pterygoplichthys pardalis,1,網捕法、電魚法,<25公尺
121.5037194,25.08701111,20170307,條鰭魚綱,Clarias batrachus,1,網捕法、電魚法,<25公尺
121.5045833,25.04943333,20170307,條鰭魚綱,Gambusia affinis,7,網捕法、電魚法,<25公尺
121.5045833,25.04943333,20170307,條鰭魚綱,Clarias batrachus,2,網捕法、電魚法,<25公尺
121.5045833,25.04943333,20170307,條鰭魚綱,Cyprinus carpio carpio,8,網捕法、電魚法,<25公尺
121.5045833,25.04943333,20170307,條鰭魚綱,Mugil cephalus,1,網捕法、電魚法,<25公尺
121.5045833,25.04943333,20170307,條鰭魚綱,Oreochromis niloticus,57,網捕法、電魚法,<25公尺
121.5045833,25.04943333,20170307,條鰭魚綱,Cyprinus carpio carpio,2,網捕法、電魚法,<25公尺
121.5045833,25.04943333,20170307,條鰭魚綱,Pterygoplichthys pardalis,1,網捕法、電魚法,<25公尺
121.5302972,24.98968056,20170307,條鰭魚綱,Clarias batrachus,1,網捕法、電魚法,<25公尺
121.5302972,24.98966667,20170307,條鰭魚綱,Cyprinus carpio carpio,16,網捕法、電魚法,<25公尺
121.5148056,25.08617778,20170307,條鰭魚綱,Pterygoplichthys pardalis,3,網捕法、電魚法,<25公尺
121.5148056,25.08617778,20170307,條鰭魚綱,Mugilogobius abei,7,網捕法、電魚法,<25公尺
121.5587556,25.19008889,20170510,條鰭魚綱,Rhinogobius candidianus,13,網捕法、電魚法,<25公尺
121.5587556,25.19008889,20170510,條鰭魚綱,Varicorhinus barbatulus,72,網捕法、電魚法,<25公尺
121.5587556,25.19008889,20170510,條鰭魚綱,Candidia barbata,45,網捕法、電魚法,<25公尺
121.5587556,25.19008889,20170510,條鰭魚綱,Acrossocheilus paradoxus,27,網捕法、電魚法,<25公尺
121.5037194,25.08701111,20170512,條鰭魚綱,Periophthalmus modestus,4,網捕法、電魚法,<25公尺
121.4948278,25.00980833,20170512,條鰭魚綱,Oreochromis niloticus,10,網捕法、電魚法,<25公尺
121.584875,24.98454167,20170512,條鰭魚綱,Oreochromis sp.,2,網捕法、電魚法,<25公尺
121.584875,24.98454167,20170512,條鰭魚綱,Acrossocheilus paradoxus,10,網捕法、電魚法,<25公尺
121.584875,24.98454167,20170512,條鰭魚綱,Misgurnus anguillicaudatus,8,網捕法、電魚法,<25公尺
121.584875,24.98454167,20170512,條鰭魚綱,Cobitis taenia taenia,2,網捕法、電魚法,<25公尺
121.584875,24.98454167,20170512,條鰭魚綱,"Opsariichthys pachycephalus 
",8,網捕法、電魚法,<25公尺
121.584875,24.98454167,20170512,條鰭魚綱,Cyprinus carpio carpio,5,網捕法、電魚法,<25公尺
121.584875,24.98454167,20170512,條鰭魚綱,Candidia barbata,11,網捕法、電魚法,<25公尺
121.584875,24.98454167,20170512,條鰭魚綱,Varicorhinus barbatulus,3,網捕法、電魚法,<25公尺
121.5042278,25.08558333,20170512,條鰭魚綱,Pterygoplichthys pardalis,33,網捕法、電魚法,<25公尺
121.5042278,25.08558333,20170512,條鰭魚綱,"Opsariichthys pachycephalus 
",30,網捕法、電魚法,<25公尺
121.5042278,25.08558333,20170512,條鰭魚綱,Gambusia affinis,30,網捕法、電魚法,<25公尺
121.5042278,25.08558333,20170512,條鰭魚綱,Oreochromis niloticus,120,網捕法、電魚法,<25公尺
121.5042278,25.08558333,20170512,條鰭魚綱,Oreochromis niloticus,60,網捕法、電魚法,<25公尺
121.5042278,25.08558333,20170512,條鰭魚綱,Distoechodon tumirostris,18,網捕法、電魚法,<25公尺
121.5042278,25.08558333,20170512,條鰭魚綱,Geophagus brasiliensis,3,網捕法、電魚法,<25公尺
121.5880472,25.12475278,20170522,條鰭魚綱,Rhinogobius candidianus,6,網捕法、電魚法,<25公尺
121.5880472,25.12475278,20170522,條鰭魚綱,Varicorhinus barbatulus,7,網捕法、電魚法,<25公尺
121.5880472,25.12475278,20170522,條鰭魚綱,Candidia barbata,11,網捕法、電魚法,<25公尺
121.5880472,25.12475278,20170522,條鰭魚綱,Acrossocheilus paradoxus,12,網捕法、電魚法,<25公尺
121.5745083,25.11633611,20170522,條鰭魚綱,Rhinogobius candidianus,1,網捕法、電魚法,<25公尺
121.5745083,25.11633611,20170522,條鰭魚綱,Varicorhinus barbatulus,3,網捕法、電魚法,<25公尺
121.5745083,25.11633611,20170522,條鰭魚綱,"Opsariichthys pachycephalus 
",3,網捕法、電魚法,<25公尺
121.5745083,25.11633611,20170522,條鰭魚綱,Candidia barbata,5,網捕法、電魚法,<25公尺
121.5745083,25.11633611,20170522,條鰭魚綱,Acrossocheilus paradoxus,1,網捕法、電魚法,<25公尺
121.5827083,25.05311944,20170522,條鰭魚綱,Hypselecara temporalis,4,網捕法、電魚法,<25公尺
121.5827083,25.05311944,20170522,條鰭魚綱,Pterygoplichthys pardalis,5,網捕法、電魚法,<25公尺
121.5827083,25.05311944,20170522,條鰭魚綱,Oreochromis niloticus,190,網捕法、電魚法,<25公尺
121.5827083,25.05311944,20170522,條鰭魚綱,Cyprinus carpio carpio,3,網捕法、電魚法,<25公尺
121.5827083,25.05311944,20170522,條鰭魚綱,Carassius auratus auratus,1,網捕法、電魚法,<25公尺
121.4703333,25.11549722,20170522,條鰭魚綱,Periophthalmus modestus,5,網捕法、電魚法,<25公尺
121.584875,24.98454167,20171023,條鰭魚綱,Geophagus brasiliensis,3,網捕法、電魚法,<25公尺
121.584875,24.98454167,20171023,條鰭魚綱,Oreochromis niloticus,5,網捕法、電魚法,<25公尺
121.584875,24.98454167,20171023,條鰭魚綱,"Opsariichthys pachycephalus 
",6,網捕法、電魚法,<25公尺
121.584875,24.98454167,20171023,條鰭魚綱,Cyprinus carpio carpio,6,網捕法、電魚法,<25公尺
121.584875,24.98454167,20171023,條鰭魚綱,Cyprinus carpio carpio,1,網捕法、電魚法,<25公尺
121.584875,24.98454167,20171023,條鰭魚綱,Carassius auratus auratus,3,網捕法、電魚法,<25公尺
121.584875,24.98454167,20171023,條鰭魚綱,Candidia barbata,18,網捕法、電魚法,<25公尺
121.584875,24.98454167,20171023,條鰭魚綱,Varicorhinus barbatulus,4,網捕法、電魚法,<25公尺
121.584875,24.98454167,20171023,條鰭魚綱,Acrossocheilus paradoxus,5,網捕法、電魚法,<25公尺
121.5042278,25.08558333,20171023,條鰭魚綱,Pterygoplichthys pardalis,21,網捕法、電魚法,<25公尺
121.5042278,25.08558333,20171023,條鰭魚綱,Oreochromis niloticus,95,網捕法、電魚法,<25公尺
121.5042278,25.08558333,20171023,條鰭魚綱,"Opsariichthys pachycephalus 
",33,網捕法、電魚法,<25公尺
121.5042278,25.08558333,20171023,條鰭魚綱,Candidia barbata,9,網捕法、電魚法,<25公尺
121.5042278,25.08558333,20171023,條鰭魚綱,Gambusia affinis,3,網捕法、電魚法,<25公尺
121.5042278,25.08558333,20171023,條鰭魚綱,Distoechodon tumirostris,2,網捕法、電魚法,<25公尺
