坐標x,坐標y,調查日期（yyyymmdd）,物種類別（綱）,物種名稱（學名或中文名）,數量,調查者,鑑定者,調查法,不準度,其他
121.5148056,25.08617778,20190618,昆蟲綱,Orthetrum pruinosum neglectum,1,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,定點調查、穿越線,50-100公尺,
121.5745083,25.11633611,20190618,昆蟲綱,Euphaea formosa,69,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,定點調查、穿越線,50-100公尺,
121.5745083,25.11633611,20190618,昆蟲綱,Leptogomphus sauteri formosanus,1,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,定點調查、穿越線,50-100公尺,
121.5745083,25.11633611,20190618,昆蟲綱,Zygonyx takasago,2,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,定點調查、穿越線,50-100公尺,
121.5745083,25.11633611,20190618,昆蟲綱,Matrona cyanoptera,2,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,定點調查、穿越線,50-100公尺,
121.5880472,25.12475278,20190618,昆蟲綱,Euphaea formosa,102,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,定點調查、穿越線,50-100公尺,
121.5880472,25.12475278,20190618,昆蟲綱,Orthetrum triangulare,7,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,定點調查、穿越線,50-100公尺,
121.5880472,25.12475278,20190618,昆蟲綱,Orthetrum pruinosum neglectum,3,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,定點調查、穿越線,50-100公尺,
121.5880472,25.12475278,20190618,昆蟲綱,Matrona cyanoptera,3,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,定點調查、穿越線,50-100公尺,
121.5880472,25.12475278,20190618,昆蟲綱,Trithemis festiva,1,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,定點調查、穿越線,50-100公尺,
121.5880472,25.12475278,20190618,昆蟲綱,Leptogomphus sauteri formosanus,2,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,定點調查、穿越線,50-100公尺,
121.5880472,25.12475278,20190618,昆蟲綱,Pantala flavescens,2,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,定點調查、穿越線,50-100公尺,
121.5745083,25.11633611,20190618,昆蟲綱,Orthetrum glaucum,1,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,定點調查、穿越線,50-100公尺,
121.5745083,25.11633611,20190618,昆蟲綱,Pseudagrion pilidorsum pilidorsum,1,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,定點調查、穿越線,50-100公尺,
121.5745083,25.11633611,20190618,昆蟲綱,Zygonyx takasago,2,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,定點調查、穿越線,50-100公尺,
121.5745083,25.11633611,20190618,昆蟲綱,Prodasineura croconota,1,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,定點調查、穿越線,50-100公尺,
121.5745083,25.11633611,20190618,昆蟲綱,Neurothemis ramburii,1,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,定點調查、穿越線,50-100公尺,
121.5745083,25.11633611,20190618,昆蟲綱,Heliogomphus retroflexus,2,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,定點調查、穿越線,50-100公尺,
121.5745083,25.11633611,20190618,昆蟲綱,Copera marginipes,6,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,定點調查、穿越線,50-100公尺,
121.5745083,25.11633611,20190618,昆蟲綱,Orthetrum luzonicum,2,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,定點調查、穿越線,50-100公尺,
121.5745083,25.11633611,20190618,昆蟲綱,Bayadera brevicauda,1,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,定點調查、穿越線,50-100公尺,
121.584875,24.98454167,20190618,昆蟲綱,Heliocypha perforata perforata,23,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,定點調查、穿越線,50-100公尺,
121.584875,24.98454167,20190618,昆蟲綱,Euphaea formosa,112,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,定點調查、穿越線,50-100公尺,
121.584875,24.98454167,20190618,昆蟲綱,Orthetrum triangulare,9,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,定點調查、穿越線,50-100公尺,
121.584875,24.98454167,20190618,昆蟲綱,Matrona cyanoptera,1,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,定點調查、穿越線,50-100公尺,
121.584875,24.98454167,20190618,昆蟲綱,Pseudagrion pilidorsum pilidorsum,6,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,定點調查、穿越線,50-100公尺,
121.584875,24.98454167,20190618,昆蟲綱,Copera marginipes,6,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,定點調查、穿越線,50-100公尺,
121.584875,24.98454167,20190618,昆蟲綱,Orthetrum glaucum,1,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,定點調查、穿越線,50-100公尺,
121.584875,24.98454167,20190618,昆蟲綱,Ceriagrion auranticum ryukyuanum,1,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,定點調查、穿越線,50-100公尺,
121.584875,24.98454167,20190618,昆蟲綱,Orthetrum pruinosum neglectum,2,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,定點調查、穿越線,50-100公尺,
121.584875,24.98454167,20190618,昆蟲綱,Trithemis festiva,1,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,定點調查、穿越線,50-100公尺,
121.584875,24.98454167,20190618,昆蟲綱,Zygonyx takasago,2,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,定點調查、穿越線,50-100公尺,
121.584875,24.98454167,20190618,昆蟲綱,Neurothemis ramburii,15,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,定點調查、穿越線,50-100公尺,
121.584875,24.98454167,20190618,昆蟲綱,Prodasineura croconota,2,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,定點調查、穿越線,50-100公尺,
121.584875,24.98454167,20190618,昆蟲綱,Trithemis aurora,10,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,定點調查、穿越線,50-100公尺,
121.5720583,24.99164444,20190618,昆蟲綱,Ischnura senegalensis,2,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,定點調查、穿越線,50-100公尺,
121.5720583,24.99164444,20190618,昆蟲綱,Agriocnemis femina oryzae,2,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,定點調查、穿越線,50-100公尺,
121.5720583,24.99164444,20190618,昆蟲綱,Copera marginipes,3,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,定點調查、穿越線,50-100公尺,
121.5827361,25.05300556,20190618,昆蟲綱,Ischnura senegalensis,6,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,定點調查、穿越線,50-100公尺,
121.5827361,25.05300556,20190618,昆蟲綱,Diplacodes trivialis,5,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,定點調查、穿越線,50-100公尺,
121.4703278,25.11546944,20190618,昆蟲綱,Ischnura senegalensis,1,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,定點調查、穿越線,50-100公尺,
121.4703278,25.11546944,20190618,昆蟲綱,Brachythemis contaminata,1,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,定點調查、穿越線,50-100公尺,
121.5587556,25.19008889,20190624,昆蟲綱,Psolodesmus mandarinus mandarinus,7,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,定點調查、穿越線,50-100公尺,
121.5587556,25.19008889,20190624,昆蟲綱,Euphaea formosa,16,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,定點調查、穿越線,50-100公尺,
121.5587556,25.19008889,20190624,昆蟲綱,Orthetrum pruinosum neglectum,1,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,定點調查、穿越線,50-100公尺,
121.5587556,25.19008889,20190624,昆蟲綱,Orthetrum luzonicum,1,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,定點調查、穿越線,50-100公尺,
121.5587556,25.19008889,20190624,昆蟲綱,Anotogaster klossi,1,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,定點調查、穿越線,50-100公尺,
121.5587556,25.19008889,20190624,昆蟲綱,Leptogomphus sauteri formosanus,2,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,定點調查、穿越線,50-100公尺,
121.5587556,25.19008889,20190624,昆蟲綱,Pantala flavescens,1,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,定點調查、穿越線,50-100公尺,
121.5587556,25.19008889,20190624,昆蟲綱,Lyriothemis flava,2,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,定點調查、穿越線,50-100公尺,
121.5587556,25.19008889,20191018,昆蟲綱,Psolodesmus mandarinus mandarinus,69,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,定點調查、穿越線,50-100公尺,
121.5587556,25.19008889,20191018,昆蟲綱,Euphaea formosa,61,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,定點調查、穿越線,50-100公尺,
121.5587556,25.19008889,20191018,昆蟲綱,Orthetrum pruinosum neglectum,1,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,定點調查、穿越線,50-100公尺,
121.5587556,25.19008889,20191018,昆蟲綱,Pantala flavescens,5,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,定點調查、穿越線,50-100公尺,
121.5587556,25.19008889,20191018,昆蟲綱,Matrona cyanoptera,3,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,定點調查、穿越線,50-100公尺,
121.5587556,25.19008889,20191018,昆蟲綱,Ischnura asiatica,2,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,定點調查、穿越線,50-100公尺,
121.5587556,25.19008889,20191018,昆蟲綱,Sympetrum cordulegaster,1,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,定點調查、穿越線,50-100公尺,
121.5745083,25.11633611,20191111,昆蟲綱,Euphaea formosa,5,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,定點調查、穿越線,50-100公尺,
121.5745083,25.11633611,20191111,昆蟲綱,Neurothemis ramburii,1,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,定點調查、穿越線,50-100公尺,
121.5745083,25.11633611,20191111,昆蟲綱,Orthetrum pruinosum neglectum,2,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,定點調查、穿越線,50-100公尺,
121.5745083,25.11633611,20191111,昆蟲綱,Matrona cyanoptera,4,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,定點調查、穿越線,50-100公尺,
121.5745083,25.11633611,20191111,昆蟲綱,Orthetrum glaucum,2,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,定點調查、穿越線,50-100公尺,
121.5745083,25.11633611,20191111,昆蟲綱,Pantala flavescens,2,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,定點調查、穿越線,50-100公尺,
121.5880472,25.12475278,20191111,昆蟲綱,Psolodesmus mandarinus mandarinus,2,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,定點調查、穿越線,50-100公尺,
121.5880472,25.12475278,20191111,昆蟲綱,Euphaea formosa,6,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,定點調查、穿越線,50-100公尺,
121.5880472,25.12475278,20191111,昆蟲綱,Orthetrum triangulare,3,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,定點調查、穿越線,50-100公尺,
121.5880472,25.12475278,20191111,昆蟲綱,Orthetrum pruinosum neglectum,1,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,定點調查、穿越線,50-100公尺,
121.5880472,25.12475278,20191111,昆蟲綱,Matrona cyanoptera,5,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,定點調查、穿越線,50-100公尺,
121.5880472,25.12475278,20191111,昆蟲綱,Trithemis festiva,3,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,定點調查、穿越線,50-100公尺,
121.5880472,25.12475278,20191111,昆蟲綱,Neurothemis ramburii,11,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,定點調查、穿越線,50-100公尺,
121.5880472,25.12475278,20191111,昆蟲綱,Trithemis aurora,2,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,定點調查、穿越線,50-100公尺,
121.5880472,25.12475278,20191111,昆蟲綱,Orthetrum glaucum,2,高潁、林瑋原、黃瀚嶙、江曉倩,高潁、林瑋原、黃瀚嶙、江曉倩,定點調查、穿越線,50-100公尺,
