坐標x,坐標y,調查日期（yyyymmdd）,調查時間（hh:mm）,物種類別（綱）,物種名稱（學名或中文名）,數量,調查者,鑑定者,調查法,不準度,其他
121.494831,25.086965,20240708,,條鰭魚綱,鯔,6,林緯原、高潁,,蝦籠誘捕法、垂釣,<25公尺,
121.494831,25.086965,20240708,,條鰭魚綱,彈塗魚,11,林緯原、高潁,,蝦籠誘捕法、垂釣,<25公尺,
121.494831,25.086965,20240708,,條鰭魚綱,花身鯻,5,林緯原、高潁,,蝦籠誘捕法、垂釣,<25公尺,
121.496475,25.051315,20240708,,條鰭魚綱,鯔,3,林緯原、高潁,,蝦籠誘捕法、垂釣,<25公尺,
121.496475,25.051315,20240708,,條鰭魚綱,豹紋翼甲鯰,2,林緯原、高潁,,蝦籠誘捕法、垂釣,<25公尺,
121.496475,25.051315,20240708,,條鰭魚綱,尼羅口孵魚,1,林緯原、高潁,,蝦籠誘捕法、垂釣,<25公尺,
121.487419,25.010453,20240708,,條鰭魚綱,尼羅口孵魚,4,林緯原、高潁,,蝦籠誘捕法、垂釣,<25公尺,
121.521629,24.99146,20240708,,條鰭魚綱,極樂吻鰕虎,2,林緯原、高潁,,蝦籠誘捕法、垂釣,<25公尺,
121.521629,24.99146,20240708,,條鰭魚綱,粗首鱲,15,林緯原、高潁,,蝦籠誘捕法、垂釣,<25公尺,
121.462117,25.117357,20240728,,條鰭魚綱,黑斑脊塘鱧,2,林緯原、高潁,,蝦籠誘捕法、垂釣,<25公尺,
121.462117,25.117357,20240728,,條鰭魚綱,黏皮鯔鰕虎,1,林緯原、高潁,,蝦籠誘捕法、垂釣,<25公尺,
121.462117,25.117357,20240728,,條鰭魚綱,大肚魚,32,林緯原、高潁,,蝦籠誘捕法、垂釣,<25公尺,
121.462117,25.117357,20240728,,條鰭魚綱,尼羅口孵魚,17,林緯原、高潁,,蝦籠誘捕法、垂釣,<25公尺,
121.462117,25.117357,20240728,,條鰭魚綱,拜庫雷鰕虎,10,林緯原、高潁,,蝦籠誘捕法、垂釣,<25公尺,
121.462117,25.117357,20240728,,條鰭魚綱,前龜鱗鮻,2,林緯原、高潁,,蝦籠誘捕法、垂釣,<25公尺,
